ModelID,ScenarioID,ExportPolicy,ExportCapSource,SellPriceSource,TaskScheduleHash,FacilityLoadHash,EnergyScheduleHash,CodeRevision,TimeRange,CreatedAt
M00_Q1,base,FORBID,not_applicable,not_applicable,not_applicable,EF09843A3BB593DD4DAF04D605950F1E69A47DEDCFCB316EF5BD79F3B1443905,6DC6DD6B3AFBAEBD7B702E2A5D87C108F8F1CCEDB5BF6FED9FD359344373DACE,1ac566f,0..2406,2026-08-26T11:47:32Z
M00_fair,base,PERMIT_RE_ONLY,region_time_data.xlsx,region_time_data.xlsx,not_applicable,EF09843A3BB593DD4DAF04D605950F1E69A47DEDCFCB316EF5BD79F3B1443905,202B4ED8176EE98FFFB69960BFB05E5AC5AB1FC5E5F529F739C6F19F7F4E5236,1ac566f,0..2406,2026-08-26T11:47:32Z
M10,lam100,PERMIT_RE_ONLY,region_time_data.xlsx,region_time_data.xlsx,D3955575812919D6AE7DCD26D860CA90202033B39DE73A1311646A636852791E,E2E200AC9816C20697EDDA7ECFD3F84196388CED69D824FFEF56939BA096A1A0,0683D0ADC198145E648862303863CA1A2A76405F84EC29F240E0B50E6F97D6C9,1ac566f,0..2406,2026-08-26T11:47:32Z
M01-xbase,base,PERMIT_RE_ONLY,region_time_data.xlsx,region_time_data.xlsx,not_applicable,EF09843A3BB593DD4DAF04D605950F1E69A47DEDCFCB316EF5BD79F3B1443905,B449F772640FD34E5BDEC65A40795FACD0FF55DD33B72F722696056DBD4DA898,1ac566f,0..2406,2026-08-26T11:47:32Z
M11,base,PERMIT_RE_ONLY,region_time_data.xlsx,region_time_data.xlsx,84A75B6E60262CE7F12EF282650D59604E98CCAE4E9474DCF4105510799074BE,EF09843A3BB593DD4DAF04D605950F1E69A47DEDCFCB316EF5BD79F3B1443905,B449F772640FD34E5BDEC65A40795FACD0FF55DD33B72F722696056DBD4DA898,1ac566f,0..2406,2026-08-26T11:47:32Z
Q3-B3ref,attachment_fixed_load,PERMIT_RE_ONLY,region_time_data.xlsx,region_time_data.xlsx,not_applicable,5184F6618AA8CA5344E05434E8BC2C79424A9C8726B5A24F497B6BB4490984C7,B711FEB8703A71447EE45C427B7A27839F1E0A1CD4BF9AB0FEE88135DB3A11F4,1ac566f,0..2406,2026-08-26T11:47:32Z
