Metric,Model,Val_MAE,Val_RMSE,Val_sMAPE,Val_PeakErr,Val_PeakHourHit,Test_MAE,Test_RMSE,Test_sMAPE,Test_PeakErr,Test_PeakHourHit
TaskCount,SNaive24,1.6577380952380951,2.1367460996691454,76.43866490263315,4.892857142857143,0.17857142857142858,,,,,
TaskCount,SNaive168,1.3333333333333335,1.7963578127805084,67.32962430008531,4.214285714285714,0.21428571428571427,,,,,
TaskCount,HW24,1.760745005129742,2.150075825106163,38.70869049141657,5.0732916423769705,0.3,,,,,
TaskCount,LagRF,1.2058006124887897,1.535313768148138,86.39304249994282,3.7302011763038547,0.14285714285714285,,,,,
TaskCount,LagRF(test),,,,,,2.022078373015873,2.4594017218206172,26.16281866306775,4.4,0.0
TaskCount,LagRF(test),,,,,,3.6970833333333335,4.459927363010897,16.59845291418989,10.64,0.0
TaskCount,LagRF(test),,,,,,1.938474702380952,2.577468529356577,26.27085138460692,7.005,1.0
TaskCount,LagRF(test),,,,,,2.37296875,2.6875421629444562,36.506456796293676,5.605,0.0
TaskCount,LagRF(test),,,,,,0.416201449013949,0.5776812874469689,163.68712589231532,1.443208874458874,0.0
TaskCount,LagRF(test),,,,,,2.044409722222222,2.5382607856507224,53.153448966579774,7.285,0.0
TaskCount,LagRF(test),,,,,,1.3126279761904762,1.8099115968888884,91.15535646728507,6.145,0.0
TaskCount,LagRF(test),,,,,,1.361220238095238,1.6761795982670624,67.99006865060697,3.9299999999999997,0.0
TaskCount,LagRF(test),,,,,,0.6135709279146778,0.7923265773423236,172.10719574848997,2.0,0.0
TaskCount,LagRF(test),,,,,,1.5115520833333331,1.8939383463513517,38.276579849701804,5.0400833333333335,0.0
TaskCount,LagRF(test),,,,,,0.9599997519841269,1.4071237893629305,70.20496275490403,4.5845,0.0
TaskCount,LagRF(test),,,,,,0.9632127976190477,1.1275280795853595,52.22977051778054,2.18,0.0
TaskCount,LagRF(test),,,,,,0.443012475949976,0.5651849789536196,161.50129744165042,1.4229166666666666,0.0
TaskCount,LagRF(test),,,,,,1.3901681547619047,1.7346214903646537,50.48075101663616,3.438333333333334,0.0
TaskCount,LagRF(test),,,,,,0.7274776785714286,0.8460664181578634,105.68573267280448,1.6252499999999999,0.0
TaskCount,LagRF(test),,,,,,1.1875272817460318,1.463597054453009,82.87322157186381,4.214583333333334,0.0
TaskCount,LagRF(test),,,,,,1.0509131944444443,1.2242882011969989,52.10119508822475,2.48,0.0
TaskCount,LagRF(test),,,,,,1.7337118055555554,2.090888546404087,45.191964840596036,4.234999999999999,0.0
TaskCount,LagRF(test),,,,,,1.039424107142857,1.3213630729133259,81.66256592286821,3.1264166666666666,0.0
TaskCount,LagRF(test),,,,,,0.35292818268118187,0.552629000826442,159.06944544596445,1.7713554541863366,0.0
TaskCount,LagRF(test),,,,,,1.4618645833333332,1.859579521817426,76.67320730440261,4.613333333333333,0.0
TaskCount,LagRF(test),,,,,,1.8435277777777779,2.521845933331046,55.57125924856003,6.91375,1.0
TaskCount,LagRF(test),,,,,,0.9098600965007214,1.2262187727089953,91.8420827791918,3.3016666666666667,1.0
TaskCount,LagRF(test),,,,,,0.5033065869262173,0.7243473712316965,168.96311929317037,1.96,0.0
TaskCount,LagRF(test),,,,,,1.2819409722222221,1.6884748126630984,56.39917273431602,4.215,0.0
TaskCount,LagRF(test),,,,,,1.5222847222222224,1.9293748965194517,45.39857944866766,4.640000000000001,1.0
TaskCount,LagRF(test),,,,,,0.6908484623015873,0.8466140903063626,117.24591335259178,2.095666666666667,0.0
TaskCount,LagRF(test),,,,,,0.32294798415164133,0.42183000725791564,152.92703706905885,0.98,0.0
GPU_Demand,SNaive24,62.52380952380952,78.26424408563858,89.08381361263376,178.21428571428572,0.03571428571428571,,,,,
GPU_Demand,SNaive168,49.458333333333336,66.48377561865951,81.3373281008413,172.21428571428572,0.32142857142857145,,,,,
GPU_Demand,HW24,73.04610250721903,86.86831794279487,57.2398101444838,192.21146630770846,0.0,,,,,
GPU_Demand,LagRF,44.72110119968989,54.30759603571327,94.0773305288377,126.24391900510203,0.10714285714285714,,,,,
GPU_Demand,LagRF(test),,,,,,175.10208333333335,215.84245403187018,31.065628193099965,482.01,0.0
GPU_Demand,LagRF(test),,,,,,182.32895833333336,236.75348322191235,26.1351847300275,527.475,0.0
GPU_Demand,LagRF(test),,,,,,27.16541666666667,36.49504746651706,26.794192178168075,101.615,0.0
GPU_Demand,LagRF(test),,,,,,9.055208333333333,11.098737681601452,35.484350936508484,23.875,1.0
GPU_Demand,LagRF(test),,,,,,37.89304488335738,50.93644413099403,169.4994182787119,138.79410173160173,1.0
GPU_Demand,LagRF(test),,,,,,44.34166666666667,59.12784446998442,80.75164749038134,155.865,0.0
GPU_Demand,LagRF(test),,,,,,16.601782986111115,21.22725088361379,92.90704980005087,68.295,0.0
GPU_Demand,LagRF(test),,,,,,5.888749999999999,7.282194323599629,72.39910356789426,20.965,0.0
GPU_Demand,LagRF(test),,,,,,37.4608034725691,49.24504440533377,166.97189813442793,122.27,0.0
GPU_Demand,LagRF(test),,,,,,37.97354166666667,50.194369569288675,67.53500879549375,137.52,0.0
GPU_Demand,LagRF(test),,,,,,15.118159722222222,19.6455708632461,81.64208895470341,50.585,0.0
GPU_Demand,LagRF(test),,,,,,3.856875,4.924876161725626,56.4318456764075,8.995,0.0
GPU_Demand,LagRF(test),,,,,,29.308344802188554,33.473935504610694,157.91166558203435,71.83344949494949,0.0
GPU_Demand,LagRF(test),,,,,,33.23291666666666,39.858314847720294,83.73274526211347,81.99000000000001,0.0
GPU_Demand,LagRF(test),,,,,,10.080922123015874,11.64050788998171,103.77662980410713,25.14,1.0
GPU_Demand,LagRF(test),,,,,,5.213375,6.794020198552057,86.32765117506696,20.965,0.0
GPU_Demand,LagRF(test),,,,,,101.48916666666666,121.28450661049003,67.63280124366486,279.06,0.0
GPU_Demand,LagRF(test),,,,,,97.14479166666666,117.83383145079769,57.185609413343656,267.91999999999996,0.0
GPU_Demand,LagRF(test),,,,,,14.885416666666666,18.754063170861578,85.2821144922133,41.64,0.0
GPU_Demand,LagRF(test),,,,,,1.5113259451157575,2.4335754828130534,158.82991631842748,7.07575900651636,0.0
GPU_Demand,LagRF(test),,,,,,96.83083333333332,132.54851553613616,66.40428893083451,371.41499999999996,0.0
GPU_Demand,LagRF(test),,,,,,106.17125,142.9072101851991,64.87189871732468,385.58500000000004,0.0
GPU_Demand,LagRF(test),,,,,,12.994819444444445,17.798586170491262,93.50257222718376,53.585,0.0
GPU_Demand,LagRF(test),,,,,,1.9535818874009905,2.393152953161553,173.01091471162604,4.875,0.0
GPU_Demand,LagRF(test),,,,,,95.74520833333334,123.65234528625678,55.50595462540042,279.22,0.0
GPU_Demand,LagRF(test),,,,,,89.46895833333333,118.2555850821643,47.02702011233548,258.655,0.0
GPU_Demand,LagRF(test),,,,,,9.73928373015873,12.037747678486967,116.79938028380225,27.345,0.0
GPU_Demand,LagRF(test),,,,,,0.9581834619646635,1.695711919867772,146.93055720296357,6.98,0.0
GPU_Hour,SNaive24,238.49538690476194,309.1590588915636,97.07515885613131,743.5464285714287,0.03571428571428571,,,,,
GPU_Hour,SNaive168,221.81617063492064,299.1260630495245,91.90632260072013,754.3428571428573,0.25,,,,,
GPU_Hour,HW24,285.88460485998814,345.44665226800197,64.92575488211254,803.2050466882249,0.0,,,,,
GPU_Hour,LagRF,180.29941903049297,218.80071250424635,102.08424893662679,525.4786002075388,0.17857142857142858,,,,,
GPU_Hour,LagRF(test),,,,,,656.6114548611112,925.6553034474072,33.05598788423069,2336.411833333333,0.0
GPU_Hour,LagRF(test),,,,,,785.8547465277774,1067.001961481417,32.476340645848076,2473.274416666666,0.0
GPU_Hour,LagRF(test),,,,,,127.78053472222224,165.3910047118772,36.2370400215807,447.78225000000003,1.0
GPU_Hour,LagRF(test),,,,,,30.162486111111104,35.7200746923681,37.25592354136642,71.43316666666668,0.0
GPU_Hour,LagRF(test),,,,,,137.94312315453644,191.09337217103257,169.53270486470186,630.1666666666667,0.0
GPU_Hour,LagRF(test),,,,,,144.8483611111111,182.4054109575735,83.8132826462281,432.4491666666669,0.0
GPU_Hour,LagRF(test),,,,,,57.988330815972226,80.07500336931008,98.59525211544722,283.291,0.0
GPU_Hour,LagRF(test),,,,,,21.48551041666667,25.76236581777081,76.30302470889886,54.35650000000002,0.0
GPU_Hour,LagRF(test),,,,,,128.4236449989247,169.59213016081418,169.92023496432333,358.8726666666667,1.0
GPU_Hour,LagRF(test),,,,,,127.55036805555555,169.23011243164188,69.75031600122922,510.67841666666664,0.0
GPU_Hour,LagRF(test),,,,,,71.53485069444446,93.84911340648128,90.30529832227315,230.43350000000007,1.0
GPU_Hour,LagRF(test),,,,,,15.671020833333342,18.631685251727625,70.74521332309202,42.62233333333334,0.0
GPU_Hour,LagRF(test),,,,,,86.72624906615374,107.05325504393988,153.26982850357572,265.2695648148149,0.0
GPU_Hour,LagRF(test),,,,,,110.71636805555556,142.3347302398701,86.0377230035455,434.9664166666666,1.0
GPU_Hour,LagRF(test),,,,,,40.12306238425925,49.521630401919836,112.1787014740656,122.92274999999998,1.0
GPU_Hour,LagRF(test),,,,,,16.324788194444444,20.54811397729768,81.70567756423645,43.241749999999996,0.0
GPU_Hour,LagRF(test),,,,,,435.83548263888883,516.0873933629471,90.22986031108586,1155.830666666669,1.0
GPU_Hour,LagRF(test),,,,,,407.6160868055556,488.45952867496214,74.80437541860107,1042.5104166666665,0.0
GPU_Hour,LagRF(test),,,,,,64.6377638888889,82.44469649980189,92.96569473352719,212.4401666666667,0.0
GPU_Hour,LagRF(test),,,,,,4.4993522691909975,7.350709253833742,153.7447051421408,26.52690972222222,0.0
GPU_Hour,LagRF(test),,,,,,439.34273958333324,566.5722552347552,82.8214726390991,1388.7079166666667,0.0
GPU_Hour,LagRF(test),,,,,,477.4073854166666,649.7280354125188,80.76714588673609,1486.8789166666668,0.0
GPU_Hour,LagRF(test),,,,,,45.51551610449735,64.89246977685336,89.9394738640834,203.107,0.0
GPU_Hour,LagRF(test),,,,,,5.820614704240497,8.439269451991702,167.07616249219353,22.373833333333334,0.0
GPU_Hour,LagRF(test),,,,,,375.04050000000007,512.5180492695788,58.74790864331357,1248.4762500000002,0.0
GPU_Hour,LagRF(test),,,,,,361.5992916666667,499.75598975706333,52.803476028441096,1413.0906666666665,0.0
GPU_Hour,LagRF(test),,,,,,29.27133549933862,35.609053422118336,114.54820095603719,66.56483333333335,0.0
GPU_Hour,LagRF(test),,,,,,4.574979675417921,8.183073786610706,162.05356524270147,34.000833333333325,0.0
AvgDuration,SNaive24,1.5861690096805767,2.058523141748225,72.47098064173316,4.5688319848141274,0.10714285714285714,,,,,
AvgDuration,SNaive168,1.6168547202861185,2.1451190319621043,68.96393778860103,4.591591280743067,0.07142857142857142,,,,,
AvgDuration,HW24,0.8018890901325463,1.0095786754896467,26.97811796567686,2.245840774788732,0.1,,,,,
AvgDuration,LagRF,1.2194711052027916,1.5103824142986515,78.25372702576348,3.2965950544182907,0.07142857142857142,,,,,
AvgDuration,HW24(test),,,,,,0.5847449765914535,0.7154387162756752,18.08756263267553,1.5345611518056081,0.0
AvgDuration,HW24(test),,,,,,0.37991767089038336,0.4340718229720872,11.4173863297238,0.9620789380247095,0.0
AvgDuration,HW24(test),,,,,,0.5383691311872217,0.6819233562708539,16.26839595278645,1.6294713340021834,0.0
AvgDuration,HW24(test),,,,,,0.6124798734929874,0.802838316375705,18.161705849114103,2.4765601423230574,0.0
AvgDuration,HW24(test),,,,,,1.2332709527214827,1.5909448794501606,174.17129022416535,5.7652260618706865,0.0
AvgDuration,HW24(test),,,,,,0.8858938659221188,1.2164623458435286,26.27060392556994,3.167626466321837,0.0
AvgDuration,HW24(test),,,,,,1.7836089714280343,2.071743734857087,87.14034830615614,3.6221909261319447,0.0
AvgDuration,HW24(test),,,,,,1.5406492743399214,1.88871879393258,59.626313250241004,3.604235672391611,0.0
AvgDuration,HW24(test),,,,,,1.5158947214990122,1.9390888572798235,157.72741477597592,5.274465517567375,0.0
AvgDuration,HW24(test),,,,,,0.8920894557271213,1.0844096576005775,28.796915985800048,2.2516688952492876,1.0
AvgDuration,HW24(test),,,,,,1.7067042796754344,1.9678374427328948,66.7456763853107,3.3864567676165227,1.0
AvgDuration,HW24(test),,,,,,1.118025057852966,1.3578006639807665,43.2055812378656,3.259330741088433,0.0
AvgDuration,HW24(test),,,,,,1.6467412756707605,2.0680086893078937,171.16636040870185,4.806220747860672,0.0
AvgDuration,HW24(test),,,,,,0.9298315501654885,1.2144137803697828,32.2620632148786,3.334774667999925,0.0
AvgDuration,HW24(test),,,,,,1.5723655733381072,1.8565555844854973,99.49861283793493,3.787736937505813,1.0
AvgDuration,HW24(test),,,,,,1.3794302912563003,1.7983247524185206,64.53461758914982,3.0764469432488037,0.0
AvgDuration,HW24(test),,,,,,1.246333531154596,1.4914650605234663,52.30684134404729,3.163016640725349,0.0
AvgDuration,HW24(test),,,,,,1.0150138215793052,1.2697132660102808,38.088066789668204,3.346882584583888,0.0
AvgDuration,HW24(test),,,,,,1.87675512708664,2.114534814283545,84.5362126466302,3.9855927527415047,0.0
AvgDuration,HW24(test),,,,,,1.0654395800219179,1.511621813162725,177.84072686883866,4.244801911158941,0.0
